,0

peak_topic /year

security,2012
vision,2006
side_effect,2020
environmental_protection,2009
vehicle,2006
hybrid_car,2012
digital_divide,2015

emerging_topic /growth rate
robot,10.450177735972417
generation,8.736960836361659
ocean,7.384876664131813
protein,5.906617639876387
transportation,5.6008409968222175

disappering_topic /drop rate
public_awareness,0.9305462090893808
health_care,0.9242770982310758
depletion,0.9212100703831714


intelligence,5.541035743437374
room,5.357773849764287
task,5.261450672190065
chemical_industry,5.22697582701089
electricity,5.191477699187032
deployment,5.18688526035129
massive,5.170644198956299
data,5.148820642019174
capital,4.9917390679963125
equitable,4.976258922726533
research_council,4.921841765871798
existing,4.769612171331057
storage,4.763395302055818
global_common,4.732040071584299
generate,4.716800811818818
training,4.709963152023909
facilitate,4.699328359654424
engagement,4.6726700664695855
target,4.60848560101381
complex,4.52122590714631
intervention,4.434973329192891
via,4.3660085107374496
algorithm,4.321200537477586
inform,4.31392714454776
also_discussed,4.251687576980479
back,4.249180108174111
learning,4.20035673936726
humanity,4.199155527304951
theory,4.165962264681838
ecosystem,4.1602343338508545
climate,4.149931506762421
move,4.116186719713208
green,4.10287956324185
beyond,4.0961540760778234
identify,4.067171964730178
novel,4.0503608224938334
utilization,4.0267409615851735
driver,4.022084927535653
ceo,4.021440853978735
ongoing,4.016325498722588
skill,4.005945065068728
climate_change,3.9149610620582656
brazil,3.8741961248572956
specie,3.8561191901798115
carbon_dioxide,3.767229827876072
transparent,3.7459199666197915
transformation,3.7400173951539086
train,3.6539383853404446
grid,3.6505263930772545
coming,3.646564271857812
achieve,3.6457822868929863
basic_research,3.637083364084851
early,3.6323155665224367
monitoring,3.622533797940597
behavior,3.6018224123957845
toshiba,3.5885303605288588
teacher,3.5735465174376047
south_africa,3.557080552933756
reaching,3.550616279819539
strengthen,3.5381167260746165
recognize,3.533460692025097
failure,3.521650761570767
